Images,,,,,,,,slider.rt,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.6420288,,,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,4.5108944,,Mean,1.307170368,1.518523888,1.5238766,1.3374648,1.265677
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.1474709,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.3925793,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.3996947,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.2408541,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.2467431,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.8274776,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,3.6086402,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.325353,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.2624879,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.9941007,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.4318869,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.5568039,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.169841,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.2927603,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.998135,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.2910505,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,2.45367,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.362546,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.9636052,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,1.1230499,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.0999013,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.2283639,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,2.1809363,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.8897192,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,1.9135917,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.1318019,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.2491939,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.1733171,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.1535629,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.1552908,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.35432,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.5174807,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.5718468,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,3.3607584,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.6790444,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,2.0857921,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.6404812,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.6055335,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,3.2935031,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.6424707,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.9671031,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.6198713,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,1.3946576,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.39381,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.7870186,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,1.6175009,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,1.8428959,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.9391325,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,3.3028627,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,2.4718685,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.5788555,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.6160126,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.1229048,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.2618057,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,1.0774759,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,3.0861768,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.4368229,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.3674517,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.5339611,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.6517564,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.1232141,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.0612222,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.5114327,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.8491809,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,1.5896456,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.2317699,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,1.8175001,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.7989127,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.0477864,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.3551192,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,3.8918812,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.2655269,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.7562038,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,1.91687,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.6957017,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,1.3628605,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.1400753,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.2450087,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,2.8645075,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,3.2184227,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,2.1391322,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,1.3115263,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,3.3581445,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.7165896,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.8472813,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.465056,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.0525552,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,0.287619,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0.1301604,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,0.1109897,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\sad image.jpg,,,,,,,,0.7987653,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\happy image.jpg,,,,,,,,2.6398101,,,,,,,
C:\Users\aritr\OneDrive\Desktop\psychopy images\angry image.jpg,,,,,,,,0,,,,,,,
C:\Users\aritr\OneDrive\Pictures\horrir pic.jpg,,,,,,,,2.0113803,,,,,,,
